IDNUMBER	structure	fmla structure	mol weight structure	nHA	nHD	CLogP	nRB	nRings	PSA	compound_name	Saltdata	inchikey	smiles	ID	inchi	Source1536wWell	volume [nL]	well_location	plate_id
P7114011380		C16H21NO6	323.34887	6	2	2.1	9	1	101.9	rac-(2S)-4-benzyloxy-2-(tert-butoxycarbonylamino)-4-oxo-butanoic acid		SOHLZANWVLCPHK-LBPRGKRZSA-N	CC(C)(C)OC(=O)N[C@@H](CC(=O)OCc1ccccc1)C(=O)O	61	InChI=1S/C16H21NO6/c1-16(2,3)23-15(21)17-12(14(19)20)9-13(18)22-10-11-7-5-4-6-8-11/h4-8,12H,9-10H2,1-3H3,(H,17,21)(H,19,20)/t12-/m0/s1	Q29	100	D13	Peptide01
P0120630186		C23H24N2O3	376.45933	3	1	3.8	5	4	66.5	N-cyclohexyl-2-(1,3-dioxoisoindolin-2-yl)-3-phenyl-propanamide		YOFNWFOOKXAPNR-UHFFFAOYSA-N	O=C(NC1CCCCC1)C(Cc2ccccc2)N3C(=O)c4ccccc4C3=O	149	InChI=1S/C23H24N2O3/c26-21(24-17-11-5-2-6-12-17)20(15-16-9-3-1-4-10-16)25-22(27)18-13-7-8-14-19(18)23(25)28/h1,3-4,7-10,13-14,17,20H,2,5-6,11-12,15H2,(H,24,26)	Q30	100	D13	Peptide01
P1000523		C20H14N2O6	378.34438	6	2	3.7	6	3	121.5	2-nitro-6-[(4-phenoxyphenyl)carbamoyl]benzoic acid		QNWFAURSCKVMKF-UHFFFAOYSA-N	OC(=O)c1c(cccc1[N+](=O)[O-])C(=O)Nc2ccc(Oc3ccccc3)cc2	237	InChI=1S/C20H14N2O6/c23-19(16-7-4-8-17(22(26)27)18(16)20(24)25)21-13-9-11-15(12-10-13)28-14-5-2-1-3-6-14/h1-12H,(H,21,23)(H,24,25)	Q31	100	D14	Peptide01
P3460720		C22H24N4O4	408.46098	4	4	2.4	9	3	126.5	rac-(2R)-2-[[2-(2-phenylindol-1-yl)acetyl]amino]-5-ureido-pentanoic acid		YGUBFAWPPZARGU-QGZVFWFLSA-N	NC(=O)NCCC[C@@H](NC(=O)Cn1c(cc2ccccc12)c3ccccc3)C(=O)O	325	InChI=1S/C22H24N4O4/c23-22(30)24-12-6-10-17(21(28)29)25-20(27)14-26-18-11-5-4-9-16(18)13-19(26)15-7-2-1-3-8-15/h1-5,7-9,11,13,17H,6,10,12,14H2,(H,25,27)(H,28,29)(H3,23,24,30)/t17-/m1/s1	Q32	100	D14	Peptide01
P7210740628		C20H18N2O6	382.37626	6	2	1.4	4	3	115.2	2-[4-(2-carboxybenzoyl)piperazine-1-carbonyl]benzoic acid		GQKZKPFUFFDRPX-UHFFFAOYSA-N	OC(=O)c1ccccc1C(=O)N2CCN(CC2)C(=O)c3ccccc3C(=O)O	69	InChI=1S/C20H18N2O6/c23-17(13-5-1-3-7-15(13)19(25)26)21-9-11-22(12-10-21)18(24)14-6-2-4-8-16(14)20(27)28/h1-8H,9-12H2,(H,25,26)(H,27,28)	Q33	100	D14	Peptide01
P7016240116		C22H19N3O5S	437.47783	7	2	2.3	6	4	114.5	N-[4-[(1,1-dioxo-1,2-benzothiazol-3-yl)amino]-2,5-dimethoxy-phenyl]benzamide		ZOFWCEZQCXHZBE-UHFFFAOYSA-N	COc1cc(NC2=NS(=O)(=O)c3ccccc23)c(OC)cc1NC(=O)c4ccccc4	157	InChI=1S/C22H19N3O5S/c1-29-18-13-17(24-22(26)14-8-4-3-5-9-14)19(30-2)12-16(18)23-21-15-10-6-7-11-20(15)31(27,28)25-21/h3-13H,1-2H3,(H,23,25)(H,24,26)	Q34	100	D14	Peptide01
P1037847		C14H22N2O2	250.34364	3	2	2.1	6	1	64.3	tert-butyl N-[(1S)-1-(aminomethyl)-2-phenyl-ethyl]carbamate		LHZRJEOMDFKIJM-LBPRGKRZSA-N	CC(C)(C)OC(=O)N[C@H](CN)Cc1ccccc1	245	InChI=1S/C14H22N2O2/c1-14(2,3)18-13(17)16-12(10-15)9-11-7-5-4-6-8-11/h4-8,12H,9-10,15H2,1-3H3,(H,16,17)/t12-/m0/s1	Q35	100	D14	Peptide01
P1647345		C17H25N3O2	303.4077	2	1	1.8	4	2	52.7	1,1-dimethyl-3-[rac-(1S)-1-benzyl-2-oxo-2-(1-piperidyl)ethyl]urea		NCFDHJXHUVOVIO-HNNXBMFYSA-N	CN(C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N2CCCCC2	333	InChI=1S/C17H25N3O2/c1-19(2)17(22)18-15(13-14-9-5-3-6-10-14)16(21)20-11-7-4-8-12-20/h3,5-6,9-10,15H,4,7-8,11-13H2,1-2H3,(H,18,22)/t15-/m0/s1	Q36	100	D14	Peptide01
P0129663884		C24H25N3O2	387.48575	5	0	4.7	6	4	37.3	(Z)-N-[4-(2-methoxyphenyl)piperazin-1-yl]-1-(3-phenoxyphenyl)methanimine		ROULWRMXSWNHGI-PLRJNAJWSA-N	COc1ccccc1N2CCN(CC2)\N=C/c3cccc(Oc4ccccc4)c3	77	InChI=1S/C24H25N3O2/c1-28-24-13-6-5-12-23(24)26-14-16-27(17-15-26)25-19-20-8-7-11-22(18-20)29-21-9-3-2-4-10-21/h2-13,18-19H,14-17H2,1H3/b25-19-	Q37	100	D14	Peptide01
P7020554654		C20H18ClN3O3	383.83776	3	2	3.5	6	3	84.2	N-[(1S)-1-benzyl-2-[(5-methylisoxazol-3-yl)amino]-2-oxo-ethyl]-2-chloro-benzamide		HWOAUGQTFDWNRW-KRWDZBQOSA-N	Cc1onc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c3ccccc3Cl)c1	165	InChI=1S/C20H18ClN3O3/c1-13-11-18(24-27-13)23-20(26)17(12-14-7-3-2-4-8-14)22-19(25)15-9-5-6-10-16(15)21/h2-11,17H,12H2,1H3,(H,22,25)(H,23,24,26)/t17-/m0/s1	Q38	100	D14	Peptide01
P1301183		C24H23BrN2O4	483.36591	3	2	4.9	8	4	76.5	5-bromo-N-[2-(4-ethoxy-3-methoxy-phenyl)-2-(1H-indol-3-yl)ethyl]furan-2-carboxamide		PAZBSRFVUKUHBZ-UHFFFAOYSA-N	CCOc1ccc(cc1OC)C(CNC(=O)c2oc(Br)cc2)c3c[nH]c4ccccc34	253	InChI=1S/C24H23BrN2O4/c1-3-30-20-9-8-15(12-22(20)29-2)17(13-27-24(28)21-10-11-23(25)31-21)18-14-26-19-7-5-4-6-16(18)19/h4-12,14,17,26H,3,13H2,1-2H3,(H,27,28)	Q39	100	D15	Peptide01
P6052646		C24H21N3O2	383.45387	1	2	5.0	6	5	63.0	4-benzyl-N-[2-(1H-indol-3-yl)ethyl]furo[3,2-b]pyrrole-5-carboxamide		JDVZHPMRYWGCKX-UHFFFAOYSA-N	O=C(NCCc1c[nH]c2ccccc12)c3cc4occc4n3Cc5ccccc5	341	InChI=1S/C24H21N3O2/c28-24(25-12-10-18-15-26-20-9-5-4-8-19(18)20)22-14-23-21(11-13-29-23)27(22)16-17-6-2-1-3-7-17/h1-9,11,13-15,26H,10,12,16H2,(H,25,28)	Q40	100	D15	Peptide01
P7211130005		C26H23NO5	429.47691	6	0	4.9	8	4	66.9	[1-isoquinolyl(phenyl)methyl] 3,4,5-trimethoxybenzoate		AJJHWJZAMWDEKK-UHFFFAOYSA-N	COc1cc(cc(OC)c1OC)C(=O)OC(c2ccccc2)c3nccc4ccccc34	85	InChI=1S/C26H23NO5/c1-29-21-15-19(16-22(30-2)25(21)31-3)26(28)32-24(18-10-5-4-6-11-18)23-20-12-8-7-9-17(20)13-14-27-23/h4-16,24H,1-3H3	Q41	100	D15	Peptide01
P7020554647		C20H19N3O3	349.39273	3	2	2.9	6	3	84.2	N-[(1S)-1-benzyl-2-[(5-methylisoxazol-3-yl)amino]-2-oxo-ethyl]benzamide		WJDFWUVDGLRKRN-KRWDZBQOSA-N	Cc1onc(NC(=O)[C@H](Cc2ccccc2)NC(=O)c3ccccc3)c1	173	InChI=1S/C20H19N3O3/c1-14-12-18(23-26-14)22-20(25)17(13-15-8-4-2-5-9-15)21-19(24)16-10-6-3-7-11-16/h2-12,17H,13H2,1H3,(H,21,24)(H,22,23,25)/t17-/m0/s1	Q42	100	D15	Peptide01
P1305487		C25H24N2O3	400.48163	3	2	4.4	8	4	63.4	N-[2-(1H-indol-3-yl)-2-phenyl-ethyl]-2-(4-methoxyphenoxy)acetamide		OFMDGDNFSFVBTC-UHFFFAOYSA-N	COc1ccc(OCC(=O)NCC(c2ccccc2)c3c[nH]c4ccccc34)cc1	261	InChI=1S/C25H24N2O3/c1-29-19-11-13-20(14-12-19)30-17-25(28)27-15-22(18-7-3-2-4-8-18)23-16-26-24-10-6-5-9-21(23)24/h2-14,16,22,26H,15,17H2,1H3,(H,27,28)	Q43	100	D15	Peptide01
P4799301		C21H23ClN6O2	426.90946	8	2	3.7	6	4	84.4	N2-(5-chloro-2-methyl-phenyl)-N4-(4-methoxyphenyl)-6-morpholino-1,3,5-triazine-2,4-diamine		BLIJYYDMRNNJLZ-UHFFFAOYSA-N	COc1ccc(Nc2nc(Nc3cc(Cl)ccc3C)nc(n2)N4CCOCC4)cc1	349	InChI=1S/C21H23ClN6O2/c1-14-3-4-15(22)13-18(14)24-20-25-19(23-16-5-7-17(29-2)8-6-16)26-21(27-20)28-9-11-30-12-10-28/h3-8,13H,9-12H2,1-2H3,(H2,23,24,25,26,27)	Q44	100	D15	Peptide01
P6248730		C15H23NO4S2	345.48286	5	2	2.4	8	1	117.2	2-[(4-tert-butylphenyl)sulfonylamino]-4-methylsulfanyl-butanoic acid		VMWPZNUUHUVDSP-UHFFFAOYSA-N	CSCCC(NS(=O)(=O)c1ccc(cc1)C(C)(C)C)C(=O)O	357	InChI=1S/C15H23NO4S2/c1-15(2,3)11-5-7-12(8-6-11)22(19,20)16-13(14(17)18)9-10-21-4/h5-8,13,16H,9-10H2,1-4H3,(H,17,18)	R1	100	D15	Peptide01
P2195935		C15H20N2O5S	340.40105	6	3	0.4	9	1	130.0	2-[[2-[(4-methoxybenzoyl)amino]acetyl]amino]-4-methylsulfanyl-butanoic acid		OBLDFJBGOLAETJ-UHFFFAOYSA-N	COc1ccc(cc1)C(=O)NCC(=O)NC(CCSC)C(=O)O	445	InChI=1S/C15H20N2O5S/c1-22-11-5-3-10(4-6-11)14(19)16-9-13(18)17-12(15(20)21)7-8-23-2/h3-6,12H,7-9H2,1-2H3,(H,16,19)(H,17,18)(H,20,21)	R2	100	D15	Peptide01
P2195085		C21H18ClFN4O2S	444.91861	5	2	4.3	7	3	109.3	N-[1-benzyl-2-(4-fluoroanilino)-2-oxo-ethyl]-5-chloro-2-methylsulfanyl-pyrimidine-4-carboxamide		FRUWYQSYVKOWAI-UHFFFAOYSA-N	CSc1ncc(Cl)c(n1)C(=O)NC(Cc2ccccc2)C(=O)Nc3ccc(F)cc3	533	InChI=1S/C21H18ClFN4O2S/c1-30-21-24-12-16(22)18(27-21)20(29)26-17(11-13-5-3-2-4-6-13)19(28)25-15-9-7-14(23)8-10-15/h2-10,12,17H,11H2,1H3,(H,25,28)(H,26,29)	R3	100	D16	Peptide01
P1304018		C25H19N3O5	441.44728	6	3	4.2	4	6	107.9	5-(1,3-benzodioxol-5-ylmethyl)-3-(2-hydroxyphenyl)-4-(4-hydroxyphenyl)-1,4-dihydropyrrolo[3,4-c]pyrazol-6-one		MBNYXWWYELYPEF-UHFFFAOYSA-N	Oc1ccc(cc1)C2N(Cc3ccc4OCOc4c3)C(=O)c5[nH]nc(c6ccccc6O)c25	621	InChI=1S/C25H19N3O5/c29-16-8-6-15(7-9-16)24-21-22(17-3-1-2-4-18(17)30)26-27-23(21)25(31)28(24)12-14-5-10-19-20(11-14)33-13-32-19/h1-11,24,29-30H,12-13H2,(H,26,27)	R4	100	D16	Peptide01
P1107425		C22H21NO6	395.41577	6	3	3.3	7	3	112.9	rac-(2R)-2-[3-(7-hydroxy-4-methyl-2-oxo-chromen-3-yl)propanoylamino]-3-phenyl-propanoic acid		DJSBYOCVGPTSDU-GOSISDBHSA-N	CC1=C(CCC(=O)N[C@H](Cc2ccccc2)C(=O)O)C(=O)Oc3cc(O)ccc13	365	InChI=1S/C22H21NO6/c1-13-16-8-7-15(24)12-19(16)29-22(28)17(13)9-10-20(25)23-18(21(26)27)11-14-5-3-2-4-6-14/h2-8,12,18,24H,9-11H2,1H3,(H,23,25)(H,26,27)/t18-/m1/s1	R5	100	D16	Peptide01
P2195368		C23H23ClN4O2S	454.98236	5	2	4.6	8	3	109.3	N-[1-benzyl-2-oxo-2-(p-tolylmethylamino)ethyl]-5-chloro-2-methylsulfanyl-pyrimidine-4-carboxamide		WYQXAKSATMQYJT-UHFFFAOYSA-N	CSc1ncc(Cl)c(n1)C(=O)NC(Cc2ccccc2)C(=O)NCc3ccc(C)cc3	453	InChI=1S/C23H23ClN4O2S/c1-15-8-10-17(11-9-15)13-25-21(29)19(12-16-6-4-3-5-7-16)27-22(30)20-18(24)14-26-23(28-20)31-2/h3-11,14,19H,12-13H2,1-2H3,(H,25,29)(H,27,30)	R6	100	D16	Peptide01
P2194165		C18H26N2O5	350.41832	5	2	1.8	10	1	93.7	methyl 2-[3-[(4-methoxybenzoyl)amino]propanoylamino]-4-methyl-pentanoate		VPJGZDBIUDOXKS-UHFFFAOYSA-N	COC(=O)C(CC(C)C)NC(=O)CCNC(=O)c1ccc(OC)cc1	541	InChI=1S/C18H26N2O5/c1-12(2)11-15(18(23)25-4)20-16(21)9-10-19-17(22)13-5-7-14(24-3)8-6-13/h5-8,12,15H,9-11H2,1-4H3,(H,19,22)(H,20,21)	R7	100	D16	Peptide01
P1301240		C26H26N2O3	414.50872	3	2	4.9	8	4	63.4	N-[2-(4-ethoxy-3-methoxy-phenyl)-2-(1H-indol-3-yl)ethyl]benzamide		UVCVDKPRUSJHPG-UHFFFAOYSA-N	CCOc1ccc(cc1OC)C(CNC(=O)c2ccccc2)c3c[nH]c4ccccc34	629	InChI=1S/C26H26N2O3/c1-3-31-24-14-13-19(15-25(24)30-2)21(16-28-26(29)18-9-5-4-6-10-18)22-17-27-23-12-8-7-11-20(22)23/h4-15,17,21,27H,3,16H2,1-2H3,(H,28,29)	R8	100	D16	Peptide01
P5970151		C13H17NO4	251.28474	4	2	1.2	6	1	75.6	ethyl (2S)-2-acetamido-3-(4-hydroxyphenyl)propanoate		SKAWDTAMLOJQNK-LBPRGKRZSA-N	CCOC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C	373	InChI=1S/C13H17NO4/c1-3-18-13(17)12(14-9(2)15)8-10-4-6-11(16)7-5-10/h4-7,12,16H,3,8H2,1-2H3,(H,14,15)/t12-/m0/s1	R9	100	D16	Peptide01
P2195235		C21H24N2O4	368.43643	4	2	2.6	9	2	84.5	methyl 3-[[2-[(4-methylbenzoyl)amino]-3-phenyl-propanoyl]amino]propanoate		AMSKNBCNDMHFOW-UHFFFAOYSA-N	COC(=O)CCNC(=O)C(Cc1ccccc1)NC(=O)c2ccc(C)cc2	461	InChI=1S/C21H24N2O4/c1-15-8-10-17(11-9-15)20(25)23-18(14-16-6-4-3-5-7-16)21(26)22-13-12-19(24)27-2/h3-11,18H,12-14H2,1-2H3,(H,22,26)(H,23,25)	R10	100	D16	Peptide01
P2195876		C24H25ClN4O3S	485.00885	6	2	4.9	10	3	118.5	N-[1-benzyl-2-(4-methoxyanilino)-2-oxo-ethyl]-5-chloro-2-propylsulfanyl-pyrimidine-4-carboxamide		FBWNJXXFJVLEHB-UHFFFAOYSA-N	CCCSc1ncc(Cl)c(n1)C(=O)NC(Cc2ccccc2)C(=O)Nc3ccc(OC)cc3	549	InChI=1S/C24H25ClN4O3S/c1-3-13-33-24-26-15-19(25)21(29-24)23(31)28-20(14-16-7-5-4-6-8-16)22(30)27-17-9-11-18(32-2)12-10-17/h4-12,15,20H,3,13-14H2,1-2H3,(H,27,30)(H,28,31)	R11	100	D17	Peptide01
P1308372		C26H26N2O3	414.50872	3	1	5.0	7	4	54.6	N-ethyl-N-[1H-indol-3-yl-(4-methoxyphenyl)methyl]-3-methoxy-benzamide		NNLVYGSAQRIDLM-UHFFFAOYSA-N	CCN(C(c1ccc(OC)cc1)c2c[nH]c3ccccc23)C(=O)c4cccc(OC)c4	637	InChI=1S/C26H26N2O3/c1-4-28(26(29)19-8-7-9-21(16-19)31-3)25(18-12-14-20(30-2)15-13-18)23-17-27-24-11-6-5-10-22(23)24/h5-17,25,27H,4H2,1-3H3	R12	100	D17	Peptide01
P1107480		C19H23N3O7	405.41106	7	5	1.0	8	2	168.1	rac-(2R)-2-[[2-(5-hydroxy-4,7-dimethyl-2-oxo-chromen-3-yl)acetyl]amino]-5-ureido-pentanoic acid		IGODCUREOYTJPM-GFCCVEGCSA-N	CC1=C(CC(=O)N[C@H](CCCNC(=O)N)C(=O)O)C(=O)Oc2cc(C)cc(O)c12	381	InChI=1S/C19H23N3O7/c1-9-6-13(23)16-10(2)11(18(27)29-14(16)7-9)8-15(24)22-12(17(25)26)4-3-5-21-19(20)28/h6-7,12,23H,3-5,8H2,1-2H3,(H,22,24)(H,25,26)(H3,20,21,28)/t12-/m1/s1	R13	100	D17	Peptide01
P2195700		C22H34N2O4	390.52728	4	2	3.5	11	1	84.5	methyl 4-[[2-[(4-tert-butylbenzoyl)amino]-4-methyl-pentanoyl]amino]butanoate		RPZJJSJMMQZIJV-UHFFFAOYSA-N	COC(=O)CCCNC(=O)C(CC(C)C)NC(=O)c1ccc(cc1)C(C)(C)C	469	InChI=1S/C22H34N2O4/c1-15(2)14-18(21(27)23-13-7-8-19(25)28-6)24-20(26)16-9-11-17(12-10-16)22(3,4)5/h9-12,15,18H,7-8,13-14H2,1-6H3,(H,23,27)(H,24,26)	R14	100	D17	Peptide01
P2190592		C24H22N2O2	370.45514	2	1	4.6	6	4	45.3	N-[1H-indol-3-yl(phenyl)methyl]-N-methyl-2-phenoxy-acetamide		JEHBARLSZOCDGF-UHFFFAOYSA-N	CN(C(c1ccccc1)c2c[nH]c3ccccc23)C(=O)COc4ccccc4	557	InChI=1S/C24H22N2O2/c1-26(23(27)17-28-19-12-6-3-7-13-19)24(18-10-4-2-5-11-18)21-16-25-22-15-9-8-14-20(21)22/h2-16,24-25H,17H2,1H3	R15	100	D17	Peptide01
P1305257		C24H22N2O2	370.45514	2	2	4.6	6	4	54.1	N-[2-(1H-indol-3-yl)-2-(4-methoxyphenyl)ethyl]benzamide		REVXWUIMWFLUGN-UHFFFAOYSA-N	COc1ccc(cc1)C(CNC(=O)c2ccccc2)c3c[nH]c4ccccc34	645	InChI=1S/C24H22N2O2/c1-28-19-13-11-17(12-14-19)21(15-26-24(27)18-7-3-2-4-8-18)22-16-25-23-10-6-5-9-20(22)23/h2-14,16,21,25H,15H2,1H3,(H,26,27)	R16	100	D17	Peptide01
P3463177		C23H22N4O4S	450.52019	6	3	2.4	9	4	137.9	methyl rac-(2S)-3-(1H-indol-3-yl)-2-[[2-[(4-oxo-3H-quinazolin-2-yl)methylsulfanyl]acetyl]amino]propanoate		WWYPPSIJXVIHEV-IBGZPJMESA-N	COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CSCC3=Nc4ccccc4C(=O)N3	389	InChI=1S/C23H22N4O4S/c1-31-23(30)19(10-14-11-24-17-8-4-2-6-15(14)17)26-21(28)13-32-12-20-25-18-9-5-3-7-16(18)22(29)27-20/h2-9,11,19,24H,10,12-13H2,1H3,(H,26,28)(H,25,27,29)/t19-/m0/s1	R17	100	D17	Peptide01
P2195223		C23H27ClN2O4	430.93564	4	2	4.2	10	2	84.5	methyl 2-[[2-[(4-chlorobenzoyl)amino]-4-methyl-pentanoyl]amino]-3-phenyl-propanoate		ONARDHPIQUUUGO-UHFFFAOYSA-N	COC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)c2ccc(Cl)cc2	477	InChI=1S/C23H27ClN2O4/c1-15(2)13-19(25-21(27)17-9-11-18(24)12-10-17)22(28)26-20(23(29)30-3)14-16-7-5-4-6-8-16/h4-12,15,19-20H,13-14H2,1-3H3,(H,25,27)(H,26,28)	R18	100	D17	Peptide01
P1310506		C21H17N3O3S	391.45194	3	1	4.5	5	4	110.2	N-[1H-indol-3-yl(2-thienyl)methyl]-N-methyl-3-nitro-benzamide		OXKCAMMVDXPMDC-UHFFFAOYSA-N	CN(C(c1cccs1)c2c[nH]c3ccccc23)C(=O)c4cccc(c4)[N+](=O)[O-]	565	InChI=1S/C21H17N3O3S/c1-23(21(25)14-6-4-7-15(12-14)24(26)27)20(19-10-5-11-28-19)17-13-22-18-9-3-2-8-16(17)18/h2-13,20,22H,1H3	R19	100	D18	Peptide01
P1308378		C27H28N2O4	444.53521	4	1	4.9	9	4	63.8	N-ethyl-N-[1H-indol-3-yl-(4-methoxyphenyl)methyl]-2-(4-methoxyphenoxy)acetamide		HFNRXEJBQQCPRW-UHFFFAOYSA-N	CCN(C(c1ccc(OC)cc1)c2c[nH]c3ccccc23)C(=O)COc4ccc(OC)cc4	653	InChI=1S/C27H28N2O4/c1-4-29(26(30)18-33-22-15-13-21(32-3)14-16-22)27(19-9-11-20(31-2)12-10-19)24-17-28-25-8-6-5-7-23(24)25/h5-17,27-28H,4,18H2,1-3H3	R20	100	D18	Peptide01
P7008308		C18H23N7O	353.43031	7	2	1.7	5	4	82.3	2-[4-(4-anilino-1-methyl-pyrazolo[3,4-d]pyrimidin-6-yl)piperazin-1-yl]ethanol		RDMAPOWZOOQNMR-UHFFFAOYSA-N	Cn1ncc2c(Nc3ccccc3)nc(nc12)N4CCN(CCO)CC4	397	InChI=1S/C18H23N7O/c1-23-17-15(13-19-23)16(20-14-5-3-2-4-6-14)21-18(22-17)25-9-7-24(8-10-25)11-12-26/h2-6,13,26H,7-12H2,1H3,(H,20,21,22)	R21	100	D18	Peptide01
P2195762		C27H36N2O4	452.59897	4	2	5.0	11	2	84.5	methyl 2-[[2-[(4-tert-butylbenzoyl)amino]-4-methyl-pentanoyl]amino]-3-phenyl-propanoate		NPRORWLVQOCGTA-UHFFFAOYSA-N	COC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)c2ccc(cc2)C(C)(C)C	485	InChI=1S/C27H36N2O4/c1-18(2)16-22(28-24(30)20-12-14-21(15-13-20)27(3,4)5)25(31)29-23(26(32)33-6)17-19-10-8-7-9-11-19/h7-15,18,22-23H,16-17H2,1-6H3,(H,28,30)(H,29,31)	R22	100	D18	Peptide01
P4356063		C26H22N4O3	438.49024	6	0	4.5	4	6	74.8	5-[4-(1,3-benzodioxol-5-ylmethyl)piperazin-1-yl]-2-(1-naphthyl)oxazole-4-carbonitrile		LRHJBFSYXMNCTB-UHFFFAOYSA-N	N#Cc1nc(oc1N2CCN(Cc3ccc4OCOc4c3)CC2)c5cccc6ccccc56	573	InChI=1S/C26H22N4O3/c27-15-22-26(33-25(28-22)21-7-3-5-19-4-1-2-6-20(19)21)30-12-10-29(11-13-30)16-18-8-9-23-24(14-18)32-17-31-23/h1-9,14H,10-13,16-17H2	R23	100	D18	Peptide01
P1306935		C20H24N2OS	340.49108	1	1	5.0	6	3	64.3	2-ethyl-N-[1H-indol-3-yl(2-thienyl)methyl]-N-methyl-butanamide		LVQDZAKRVNULSR-UHFFFAOYSA-N	CCC(CC)C(=O)N(C)C(c1cccs1)c2c[nH]c3ccccc23	661	InChI=1S/C20H24N2OS/c1-4-14(5-2)20(23)22(3)19(18-11-8-12-24-18)16-13-21-17-10-7-6-9-15(16)17/h6-14,19,21H,4-5H2,1-3H3	R24	100	D18	Peptide01
P1157914		C19H18N2O6	370.36511	6	4	2.5	6	3	120.9	rac-(2R)-2-[(4,7-dimethoxy-1H-indole-2-carbonyl)amino]-2-(4-hydroxyphenyl)acetic acid		ZJYIPRGQCKJXFI-MRXNPFEDSA-N	COc1ccc(OC)c2[nH]c(cc12)C(=O)N[C@@H](C(=O)O)c3ccc(O)cc3	405	InChI=1S/C19H18N2O6/c1-26-14-7-8-15(27-2)17-12(14)9-13(20-17)18(23)21-16(19(24)25)10-3-5-11(22)6-4-10/h3-9,16,20,22H,1-2H3,(H,21,23)(H,24,25)/t16-/m1/s1	R25	100	D18	Peptide01
P2194104		C18H20ClN3O3S	393.8954	6	2	4.2	8	2	117.5	2-[(2-benzylsulfanyl-5-chloro-pyrimidine-4-carbonyl)amino]-4-methyl-pentanoic acid		NNFQTNDLIJDYTQ-UHFFFAOYSA-N	CC(C)CC(NC(=O)c1nc(SCc2ccccc2)ncc1Cl)C(=O)O	493	InChI=1S/C18H20ClN3O3S/c1-11(2)8-14(17(24)25)21-16(23)15-13(19)9-20-18(22-15)26-10-12-6-4-3-5-7-12/h3-7,9,11,14H,8,10H2,1-2H3,(H,21,23)(H,24,25)	R26	100	D18	Peptide01
P1306102		C26H26N2O3	414.50872	3	1	5.0	7	4	54.6	N-[1H-indol-3-yl(p-tolyl)methyl]-2-(2-methoxyphenoxy)-N-methyl-acetamide		RMSAEMKDHBFJQK-UHFFFAOYSA-N	COc1ccccc1OCC(=O)N(C)C(c2ccc(C)cc2)c3c[nH]c4ccccc34	581	InChI=1S/C26H26N2O3/c1-18-12-14-19(15-13-18)26(21-16-27-22-9-5-4-8-20(21)22)28(2)25(29)17-31-24-11-7-6-10-23(24)30-3/h4-16,26-27H,17H2,1-3H3	R27	100	D19	Peptide01
P1303111		C26H24N2O4	428.49218	5	0	4.7	7	4	60.9	3,4,5-trimethoxy-N-(1-naphthylmethyl)-N-(2-pyridyl)benzamide		YIDOLWBJCRFCEK-UHFFFAOYSA-N	COc1cc(cc(OC)c1OC)C(=O)N(Cc2cccc3ccccc23)c4ccccn4	669	InChI=1S/C26H24N2O4/c1-30-22-15-20(16-23(31-2)25(22)32-3)26(29)28(24-13-6-7-14-27-24)17-19-11-8-10-18-9-4-5-12-21(18)19/h4-16H,17H2,1-3H3	R28	100	D19	Peptide01
P11185520		C15H25N3O2	279.3854	3	3	2.9	5	2	78.0	N-[rac-(1S,2R)-1-(hydroxymethyl)-2-methyl-butyl]-2,4,5,6,7,8-hexahydrocyclohepta[c]pyrazole-3-carboxamide		UZMZSUZCRGUKAU-ZWNOBZJWSA-N	CC[C@@H](C)[C@@H](CO)NC(=O)c1[nH]nc2CCCCCc12	413	InChI=1S/C15H25N3O2/c1-3-10(2)13(9-19)16-15(20)14-11-7-5-4-6-8-12(11)17-18-14/h10,13,19H,3-9H2,1-2H3,(H,16,20)(H,17,18)/t10-,13-/m1/s1	R29	100	D19	Peptide01
P1045801		C13H16ClNO3	269.73037	3	2	2.9	5	1	66.4	2-[(4-chlorobenzoyl)amino]-4-methyl-pentanoic acid		GBFHNWPMWRSODC-UHFFFAOYSA-N	CC(C)CC(NC(=O)c1ccc(Cl)cc1)C(=O)O	501	InChI=1S/C13H16ClNO3/c1-8(2)7-11(13(17)18)15-12(16)9-3-5-10(14)6-4-9/h3-6,8,11H,7H2,1-2H3,(H,15,16)(H,17,18)	R30	100	D19	Peptide01
P1692478		C25H21N3O4	427.46382	5	3	4.1	6	5	98.7	5-(2-hydroxyethyl)-3-(2-hydroxyphenyl)-4-(3-phenoxyphenyl)-1,4-dihydropyrrolo[3,4-c]pyrazol-6-one		XORCUXPFDRQOOR-UHFFFAOYSA-N	OCCN1C(c2cccc(Oc3ccccc3)c2)c4c(n[nH]c4C1=O)c5ccccc5O	589	InChI=1S/C25H21N3O4/c29-14-13-28-24(16-7-6-10-18(15-16)32-17-8-2-1-3-9-17)21-22(26-27-23(21)25(28)31)19-11-4-5-12-20(19)30/h1-12,15,24,29-30H,13-14H2,(H,26,27)	R31	100	D19	Peptide01
